condition,variant_index,randomized_scale,v_max,v_max_success_rate,yaw_offset_mean,yaw_variance,var_vx,var_vy,var_roll,var_pitch,base_variance_scalar,mean_power,cot,urdf_path
full_asym,5,0.8780742119274623,0.875,0.6,0.595392665942366,4.993531250897483,0.34486439223923854,0.17642559643396669,0.3305256612809532,0.2947773972166779,0.2866482617927091,141.01716730218183,44.307000693534285,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_030.urdf
full_asym,6,0.9385914621628724,0.0,0.0,0.19327596979059056,8.331721652703576,0.07982542177118113,0.15827789849865923,0.5210233301068122,0.07941692954891254,0.2096358949813913,173.1787136332194,59.91667828101548,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_015.urdf
full_asym,7,0.9608552299614216,0.875,0.6,0.2947545496283764,9.562504995416054,0.005279975284952852,0.05121309944999724,0.0163574684564979,0.005673641383847596,0.019631046143823896,100.52278905232747,17.888175067697983,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_047.urdf
full_asym,8,0.9270889339237175,1.875,0.8,0.05663260671514815,1.472545173197008,0.017540426870881424,0.05548282491928906,0.04202344741236075,0.0017330475377091625,0.029194936685060097,138.8406470489502,35.33397433524463,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_054.urdf
full_asym,9,1.044888403437581,0.0,0.0,0.13609288695546415,7.875971844490729,0.25245591104366294,0.12722134878660432,0.02457782660540677,0.04004954992109802,0.111076159089193,206.8194021097819,38.360738644655626,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_027.urdf
full_asym,10,0.8802249885286216,0.375,0.4,0.5624612937750981,7.267266414205857,0.2659639966316479,0.2720423435369163,3.6345727531703256,0.49150013093630746,1.1660198060687992,204.0294800313314,177.5193204991433,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_031.urdf
full_asym,11,0.8619940712424228,1.375,0.6,0.09266145105793464,8.077232213846477,0.04010347701091848,0.0540207693972242,0.1957645475886926,0.01627868300673935,0.07654186925089367,194.47048407872518,58.48904262524853,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_055.urdf
full_asym,12,0.8662126890941113,1.75,0.6,0.15076654027116254,0.9762422459175442,0.07973535393214426,0.04566451548894763,0.207039753193047,0.022121814805546605,0.08864035935492136,171.02723047892252,50.99419555156769,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_005.urdf
full_asym,13,0.8607206932315326,1.875,0.8,0.12141255459168775,8.647719209089175,0.18858964859166064,0.10019653684791009,0.10229508375271332,0.039475389293075404,0.10763916462133986,202.50573972066243,49.83770526894935,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_041.urdf
full_asym,14,1.05504359209162,1.0,0.2,1.4063613309348193,2.083430852016438,0.05563740893948365,0.20924315551249975,6.075192376846031,0.1012523802994299,1.6103313303993612,161.87958477913065,110.71694874483342,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_028.urdf
full_asym,15,0.9082139763640703,1.625,0.6,0.06666826442708983,0.002641868839178827,0.015902525911895712,0.0402188554917588,0.15899284791345858,0.0077937534533628035,0.05572699569261898,144.9377872212728,29.110765198076646,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_007.urdf
